"","titulo","categoria","precio","comuna","descripcion","link"
"11","Kia rio 1.4cc at recibo vehiculo","Autos, camionetas y 4x4",7650000,"La Florida","recibo vehiculokia rio 4 1.4 at fullairbag                           aire acondicionadoalzavidrios electricosespejpos electrico y abatibles electricamenteusb al diacredito automotriz red-compra - tarjetas de credito 228236988. +569 9541 0439","https://www.yapo.cl/region_metropolitana/autos/kia_rio_1_4cc_at_recibo_vehiculo_74667568.htm?ca=15_s&oa=74667568&xsp=10"
"12","Cuna","Coches y artículos infantiles",60000,"Maipú","maravillosa cuna en excelente estado, con mudador.","https://www.yapo.cl/region_metropolitana/coches-articulos-infantiles/cuna_75743968.htm?ca=15_s&oa=75743968&xsp=11"
"13","DEPARTAMENTO Callao / San Crescente / Metro…","Vendo",NA,"Las Condes","callao / san crescente / metro el golfcaracteristicas (penthouse remodelado completamente en barrio el golf sur)- 150 / 170 m.2- hall de entrada - living comedor el l con salida a terrazas- 3 dormitorios, ppal en suite con walking-closet con ventana y salida a terraza, dormitorios 2 y 3 amplios- 2 baños completos y ambos con ventanas- 1 baño de visita- cocina con isla y cubiertas de cuarzo, cocina profesional con 5 platos, comedor de diario- amplia loggia que está dividida en 2 partes y está adaptada para usar como oficina- terrazas con cortinas black-out- 1 bodega- 2 estacionamientos juntos (no tamdem) en subterraneootros- orientación todas- piso de porcelanato- .: $300.000.- - contribuciones $350.000 cada cuota (4 roles)- 2 ascensores directo al departamento, 1 entrada al departamento y el otro de carga que llega directo a los estacionamientos y bodega desde la cocinaedificioaño 1986, 11 pisos, piso 11 y 1 departamento por piso, acceso controlado, conserjería 24/7, estacionamientos de visitas","https://www.yapo.cl/region_metropolitana/comprar/departamento_callao___san_crescente___metro__8230__75743967.htm?ca=15_s&oa=75743967&xsp=12"
"14","Garzon Pub Bellavista","Ofertas de empleo",150000,"Recoleta","necesito garzon hombre, muy buena presencia, responsable para garzon en pub bellavista, puede ser extranjeroenviar cv o celular, via email para entrevista","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/garzon_pub_bellavista_75743966.htm?ca=15_s&oa=75743966&xsp=13"
"15","Pionner 1200 watts doble bobina","Accesorios y piezas para vehículos",140000,"Huechuraba","70 cada uno en recoleta los pueden venir a probar ","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/pionner_1200_watts_doble_bobina_75743963.htm?ca=15_s&oa=75743963&xsp=14"
"16","Ropa niña","Vestuario futura mamá y niños",NA,"Santiago","foto 1 y 2: polera manga larga chess baby, talla 36 meses (2.000)foto 3 y 4: jeans yamp for girls, talla 3 ($2.500) foto 5 y 6: jardinera jeans h&m, talla 1,5 - 2 años ($2.500)entregas en metro cummings","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/ropa_ni_a_75743961.htm?ca=15_s&oa=75743961&xsp=15"
"17","plantas de Calanchoe","Jardín, herramientas y exteriores",1500,"Maipú","plantas de 30 centimetros","https://www.yapo.cl/region_metropolitana/jardin_herramientas/plantas_de_calanchoe_75743959.htm?ca=15_s&oa=75743959&xsp=16"
"18","Ayudante de cocina","Ofertas de empleo",7e+05,"Providencia","buscamos ayudante de cocina con al menos 2 años de experiencia en cuarto caliente y cocina peruana o alguna cocina internacional para local en bellavista en la comuna de providencia. buscamos personas sin problemas de movilización que vivan cerca de la comuna.el trabajo de es lunes a sábado con los domingos libres. interesados enviar su numero de telefono junto con contar brevemente su experiencia en el cargo.","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/ayudante_de_cocina_75743958.htm?ca=15_s&oa=75743958&xsp=17"
"19","Lentes eclipse solar","Hobbies y outdoor",1000,"La Florida","nuestros lentes tienen la certificacio","https://www.yapo.cl/region_metropolitana/hobbies_outdoor/lentes_eclipse_solar_75743957.htm?ca=15_s&oa=75743957&xsp=18"
"20","Cama King  por cambio de casa","Muebles",75000,"Las Condes","precio de liquidación !!!cama box spring tamaño king, buen estado, incluyo flete por hoy","https://www.yapo.cl/region_metropolitana/muebles/cama_king__por_cambio_de_casa_75743955.htm?ca=15_s&oa=75743955&xsp=19"
"21","Guante tipo hyflex ","Negocios, maquinaria y construcción",NA,"La Florida","excelente guante para agarre y manejo de articulos pequeños, muy cómodos ya que se ajustan a tu mano teniendo mejor tacto a los elementos de trabajo. venta minima de 12 pares de guantes.","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/guante_tipo_hyflex__75743954.htm?ca=15_s&oa=75743954&xsp=20"
"22","Audifonos SONY noise-Cancelling e inalámbricos","Audio, TV, video y fotografía",59990,"San Miguel","vendo audífonos sony con cancelación de sonido y bass suenan espectacular, ideal para trabajar o viajes en su momento costaron 250.000 han estado más de un año guardados, los vendo por no uso entrego con bolsa sony original, can le usb y cable para conectarlo como audífono con cable cuando se acaba la batería batería dura sobre 7 horas 59.990","https://www.yapo.cl/region_metropolitana/television_camaras/audifonos_sony_noise_cancelling_e_inal_mbricos_75743950.htm?ca=15_s&oa=75743950&xsp=21"
"23","Ultima cena","Arte, antigüedades y colecciones",110000,"Las Condes","cuadro tallado a mano en madera de 1.52 x 37","https://www.yapo.cl/region_metropolitana/arte_antiguedades_colecciones/ultima_cena_75743946.htm?ca=15_s&oa=75743946&xsp=22"
"24","Lentes de sol Fox polarizado amarillo","Bolsos, bisutería y accesorios",13000,"San Miguel","lentes de sol fox marco transparente + estuche rígido de regalo","https://www.yapo.cl/region_metropolitana/bolsos-bisuteria-accesorios/lentes_de_sol_fox_polarizado_amarillo_75743945.htm?ca=15_s&oa=75743945&xsp=23"
"25","Toyota Tercel 1995 Automatico 135.000 Kms impecabl","Autos, camionetas y 4x4",2680000,"La Reina","automatico, solo 135.000 kms , todo original,documentación al díaver en la reina +56997111775","https://www.yapo.cl/region_metropolitana/autos/toyota_tercel_1995_automatico_135_000_kms_impecabl_75743944.htm?ca=15_s&oa=75743944&xsp=24"
"26","Metro Ecuador - Deptos NUEVOS Recien Entregados","Arriendo",2e+05,"Estación Central","se arriendan deptos nuevos , recien entregados a solo minutos de metro ecuador, calle buzo sobenesdepto tipo estudio , 1 ambiente.cocina equipada con campana, cocina encimera y horno elèctricobañovalor $200.000edificio posee sala de eventos, quinchos en terraza panoràmica, lavanderìa, gimnasio, seguridad 24 hrsrequisitos :acreditar renta de 500 milsin dicomse solicita:1 mes arriendo, 1 mes garantia comision corretaje $100.000 milinteresados llamar al fono + 56 9 84188841","https://www.yapo.cl/region_metropolitana/arrendar/metro_ecuador___deptos_nuevos_recien_entregados_75743941.htm?ca=15_s&oa=75743941&xsp=25"
"27","Celular Xaomi Redmi Note Pro 8","Celulares, teléfonos y accesorios",180000,"Santiago","celular xaomi redmi note pro 8 sin uso.solo la caja fue abierta.todos los accesorios embalados.liberado de fábrica.","https://www.yapo.cl/region_metropolitana/celulares/celular_xaomi_redmi_note_pro_8_75743940.htm?ca=15_s&oa=75743940&xsp=26"
"28","Perfil C o perfil U","Negocios, maquinaria y construcción",180000,"Renca","4 perfi c o perfil ude 6 metros de largo x 6 pulgadas x 0.32 perfi c o perfil ude 2 metros de largo x 6 x 0.3","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/perfil_c_o_perfil_u_75743938.htm?ca=15_s&oa=75743938&xsp=27"
"29","Dispensador de jabón ","Otros artículos del hogar",4500,"Santiago","disponibles dispensadores de jabónincluye esponja de regalo valor 4.500 la unidad","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/dispensador_de_jab_n__75743937.htm?ca=15_s&oa=75743937&xsp=28"
"30","Mahindra Xuv 500 full cuero AWD oferta","Autos, camionetas y 4x4",8400000,"Puente Alto","excelente estado, 3 corridas de asientos cuero. tracción 4 ruedas.  petrolera económica. sin cúpula. batería nueva. precio conversable.","https://www.yapo.cl/region_metropolitana/autos/mahindra_xuv_500_full_cuero_awd_oferta_75743935.htm?ca=15_s&oa=75743935&xsp=29"
"31","Roland xps 10","Instrumentos musicales y accesorios",480,"Conchalí","vendo mi hermoso teclado sintetizador roland xps10 esta como nuevo solamente usado en casa nada de tocatas. cuenta con mas de 1500 de la serie roland y samples de la serie korg esta casi nuevo","https://www.yapo.cl/region_metropolitana/instrumentos_musicales/roland_xps_10_75259944.htm?ca=15_s&oa=75259944&xsp=30"
"32","Posa Vasos De BRONCE","Otros artículos del hogar",2000,"Ñuñoa","posa vasos de bronceson 8 a $ 2000 cada unobuen estado favor soloefectivo","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/posa_vasos_de_bronce_75743933.htm?ca=15_s&oa=75743933&xsp=31"
"33","Casa 4 Dormitorios 3 Baños","Vendo",NA,"Maipú","casa de 2 pisos ,excelente entorno. ubicada a media cuadra de av. longitudinal y cercana a av. el descanso. cuenta con con 4 dormitorios y 3 baños , living-comedor ,cocina con acceso al patio,posee antejardín con entrada de auto.                            cercana a áreas verdes, las av. longitudinal y el descanso más la estación de metro las parcelas línea 5, presentan buen acceso a transporte público, colegios, mall arauco maipú y supermercados jumbo y líder.","https://www.yapo.cl/region_metropolitana/comprar/casa_4_dormitorios_3_ba_os_75743928.htm?ca=15_s&oa=75743928&xsp=32"
"34","Volkswagen Gol Highline 1.6 2020","Autos, camionetas y 4x4",8500000,"Providencia","volkswagen gol highline 1.6 2020* bono financiamiento $ 500.000.- * precio, condiciones y stock pueden variar sin previo aviso. consulte con ejecutivo. visítenos www.autotattersall.claire acondicionado, alza vidrio delanteros, cierre centralizado, alzavidrios elã©ctricos traseros, alarma, airbag acompanante, airbag conductor#autosmayo volkswagen gol highline 1.6 2020* bono financiamiento $ 500.000.- * precio, condiciones y stock pueden variar sin previo aviso. consulte con ejecutivo. visítenos www.autotattersall.claire acondicionado, alza vidrio delanteros, cierre centralizado, alzavidrios elã©ctricos traseros, alarma, airbag acompanante, airbag conductor","https://www.yapo.cl/region_metropolitana/autos/volkswagen_gol_highline_1_6_2020_75743927.htm?ca=15_s&oa=75743927&xsp=33"
"35","GUARDIAS DE SEGURIDAD CONTROL DE ACCESO 4X4.-Renca","Ofertas de empleo",NA,"Santiago","importante centro de distribución de alimentos ubicado en la comuna de renca, requiere incorporar a su equipo de trabajo a guardias de seguridad para jornada 4x4.función:ejecutarel registro de ingreso y salida de vehículos y camiones del centro de distribución.requisitos.manejó de exel nivel intermediocurso os-10 al díabuen vocabulario para atención a publicohorario:turnos 4x4 rotativo rango horario de  07:00hrs a 19:00hrs o de 19:00hrs a 07:00 hrs.renta $460.000 líquidos más horas extra y bonos a partir del contrato indefinido.beneficiosestabilidad laboral.contrato directo con la empresaalimentación en casino de la empresa.buses de acercamiento.posibilidad de crecimiento interno.interesados enviar cv actualizado, certificado de antecedentes, certificado de os-10 al día  al whattsap +56978828385","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/guardias_de_seguridad_control_de_acceso_4x4__renca_75743923.htm?ca=15_s&oa=75743923&xsp=34"
"36","Bicicleta Oxford Modelo Ciclotour","Bicicletas, ciclismo y accesorios",130000,"Ñuñoa","bicicleta con 3 salidas, realmente nueva- aro 26- 6 velocidades- cambio shimano- parrilla- canasto- luz led- campanillavalor en todo el comercio $220.000se entrega solo en mi domicilio, la venta es solo en efectivo","https://www.yapo.cl/region_metropolitana/bicicletas_ciclismo/bicicleta_oxford_modelo_ciclotour_75743922.htm?ca=15_s&oa=75743922&xsp=35"
"37","Encendedor de plasma recargable USB de metal","Bolsos, bisutería y accesorios",16000,"Santiago","encendedor de cigarrillos electrónico marca arc lighter, mechero recargable por usb de plasma de doble arco, de metal, a prueba de viento, sin llama, ideal para regalar en esta navidad.","https://www.yapo.cl/region_metropolitana/bolsos-bisuteria-accesorios/encendedor_de_plasma_recargable_usb_de_metal_75743919.htm?ca=15_s&oa=75743919&xsp=36"
"38","Nintendo Wii","Consolas, videojuegos y accesorios",NA,"Pudahuel","hola vendo nintendo wii con pendrive con 4 juegos sus cables y 3 controles .976871884","https://www.yapo.cl/region_metropolitana/consolas_videojuegos/nintendo_wii_75743918.htm?ca=15_s&oa=75743918&xsp=37"
"39","Nissan Xtrail","Autos, camionetas y 4x4",7200000,"Providencia","mantención de 80.000 en concesionario, único dueño, en muy buenas condiciones","https://www.yapo.cl/region_metropolitana/autos/nissan_xtrail_75743917.htm?ca=15_s&oa=75743917&xsp=38"
"40","Patente de Botilleria y derecho a llave ","Negocios, maquinaria y construcción",3e+07,"El Bosque","se vende patente de botilleria ubicada en la comuna de el bosque. con derecho a llave, coolers y mercadería. disponible para llegar y funcionar. buena clientela.","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/patente_de_botilleria_y_derecho_a_llave__75743916.htm?ca=15_s&oa=75743916&xsp=39"
"41","Triciclo/coche para niña ","Juguetes",NA,"Santiago","hola, vendo triciclo de niña por falta de espacio y uso.ideal para pasear, llevar a los niños cuando se cansan de caminar, etc. ","https://www.yapo.cl/region_metropolitana/juguetes/triciclo_coche_para_ni_a__75743914.htm?ca=15_s&oa=75743914&xsp=40"
"42","Revistas Dr. Mortis","Libros y revistas",10000,"Santiago","revistas dr. mortis primera etapa","https://www.yapo.cl/region_metropolitana/libros_revistas/revistas_dr__mortis_75743913.htm?ca=15_s&oa=75743913&xsp=41"
"43","Lámpara living  Ombu""","Otros artículos del hogar",30000,"Las Condes","lámpara en madera fina trabajada toños coloniales decapados","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/l_mpara_living__ombu__75743912.htm?ca=15_s&oa=75743912&xsp=42"
"44","Aritmética Baldor","Libros y revistas",20000,"La Florida","libro como nuevo, no rayado","https://www.yapo.cl/region_metropolitana/libros_revistas/aritm_tica_baldor_75743911.htm?ca=15_s&oa=75743911&xsp=43"
"45","Bolso para parlante Bose Soundlink color 2","Audio, TV, video y fotografía",13000,"San Miguel","bolso para parlante soundlink bose color 2","https://www.yapo.cl/region_metropolitana/television_camaras/bolso_para_parlante_bose_soundlink_color_2_75743910.htm?ca=15_s&oa=75743910&xsp=44"
"46","Canarios adultos y catitas de la temporada","Animales y sus accesorios",NA,"La Granja","pareja de canarios adulta y catitas de la temporada","https://www.yapo.cl/region_metropolitana/animales_accesorios/canarios_adultos_y_catitas_de_la_temporada_75743907.htm?ca=15_s&oa=75743907&xsp=45"
"47","Maestros Susheros AM/PM-NIU SUSHI","Ofertas de empleo",6e+05,"Santiago","importante cadena gastronómica, desea incorporar a maestros susheros, para trabajar en sus distintos locales en santiago.el/la candidato/a debe contar con al menos 1 año de experiencia como sushero/a y disponibilidad para trabajar en una de las siguientes comunas: peñalolén, maipú, las condes, ñuñoa o lo barnechea (trabajará fijo en el local de preferencia)la jornada es de lunes a jueves de 17:30 a 00:00 hrs - viernes y sábado hasta la 01:00 hrs. domingos y festivos libres. (todos nuestros locales cuentan con transporte hasta domicilio)ofrecemos:renta base $450.000 (turno pm)bono por asistencia $50.000bono de incorporación 1er mes $100.000bono según desempeño (variable, a partir del 2º mes)bono por locomoción $30.000 (aplicable sólo para local en lo barnechea)colación diariatransporte a domiciliobeneficios:premio empleado del mesgiftcard fechas especiales y cumpleañosafiliación a caja los andes y achsposibilidades de crecimiento¡esperamos tu postulación!","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/maestros_susheros_am_pm_niu_sushi_75690957.htm?ca=15_s&oa=75690957&xsp=46"
"48","Carpintero con experiencia","Ofertas de empleo",NA,"La Pintana","se necesita carpintero con experiencia comprobable en containers modulares.","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/carpintero_con_experiencia_75443921.htm?ca=15_s&oa=75443921&xsp=47"
"49","Fletes y trasteos baratos","Servicios",10000,"Ñuñoa","mudanzas, fletes y mini fletes en todo santiago y regiones, seriedad, honestidad y conciencia en cuidar tus cosas en los traslados","https://www.yapo.cl/region_metropolitana/servicios/fletes_y_trasteos_baratos_74915779.htm?ca=15_s&oa=74915779&xsp=48"
"50","Fletes y Mudanzas ","Servicios",NA,"Independencia","servicio de fletes y mudanzas dentro afuera de santiago 976773450 ","https://www.yapo.cl/region_metropolitana/servicios/fletes_y_mudanzas__74303539.htm?ca=15_s&oa=74303539&xsp=49"
"51","Ejecutivas (os) de venta","Ofertas de empleo",5e+05,"Pedro Aguirre Cerda","empresa de muebles busca vendedores experto en venta por internet a través de todas las plataformas.marketplace,  convenio marco (compra ágil), yapo, etc.administración de página webse ofrece sueldo base + comisiones por venta neta recaudada.","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/ejecutivas__os__de_venta_74148023.htm?ca=15_s&oa=74148023&xsp=0"
"52","Departamento en ""La Cisterna""","Arriendo",330000,"La Cisterna","arriendo departamento de 3 habitaciones en calle trinidad ramirez "" la cisterna""departamento a estrenar con habitaciones alfombradas, living, comedor, cocina y baño con pisos cerámicos.mes de garantía en un pago.zona tranquila y cómoda, condominio con conserjería las 24 horas del día, piscina, quinchos, áreas verdes y zona de juegos+56939472581","https://www.yapo.cl/region_metropolitana/arrendar/departamento_en__la_cisterna__71878894.htm?ca=15_s&oa=71878894&xsp=1"
"53","Gasfiter, reparacion de calefont, Filtraciones","Servicios",10000,"Ñuñoa","servicio técnico a domiciliourgencias 24/7reparación de calefont convencional e ionizado de tiro natural o tiro forzado.reparacion de calderas y calderas mixtasdetección de fugas de agua y gasreparaciones de fugas de agua y gasdestape de alcantarillado y artefactos ( lavamanos, lavaplatos, wc, duchas, piletas, etc.)reparación y reemplazo de llaves y grifería.limpieza de sarro en ductos y cañeríassistemas antisarro para líneas de agua caliente y fría.trabajos en cobre, bronce, ppr, pvc, cpvc, pex, inox, etc.trabajos garantizadosprocedimiento: inicialmente la visita tiene un costo de (precio publicado) pesos neto, se realiza una evaluación y presupuesto estimado, si usted acepta el presupuesto se realiza de inmediato el trabajo","https://www.yapo.cl/region_metropolitana/servicios/gasfiter__reparacion_de_calefont__filtraciones_70665295.htm?ca=15_s&oa=70665295&xsp=2"
"54","Flete dentro y fuera de Santiago","Servicios",NA,"Puente Alto","fletes dentro y fuera de santiago camión plano de 5000 kilos , especial para carga lateral ya que cuenta con barandas habitables que facilita esta actividad, también contamos con camión cerrado de 34 metros cúbicos especial para mudanzas atendemos empresas y particulares factura inmediata","https://www.yapo.cl/region_metropolitana/servicios/flete_dentro_y_fuera_de_santiago_67300136.htm?ca=15_s&oa=67300136&xsp=3"
"55","Fletes y Mudanza El Económico","Servicios",8990,"Santiago","""permiso para circular en comunas con cuarentena""factura electronica inmediata.servicio de fletes, mudanzas, despachos y más. ****transporte de carga******** 6 toneladas********el económico ****muebles, mercadería y encargos.responsabilidad y puntualidad.los 7 días de la semana y las 24 hrs, para ir a buscar o dejar donde se necesité; valores parten  desde los $ 8.990. (fin de semana y feriados todo el día). santiago,puente alto, el bosque,san bernardo,quilicura,san joaquín,  nuñoa la pintana,conchali,cerrillos, maipú, san miguel, lo espejo, ñuñoa, providencia, independencia, recoleta, renca, lo prado, quinta normal, pudahuel, las condes, vitacura y otras comunas (dentro y fuera de santiago)no dude en consultarsaludos.cristian bilbeny.","https://www.yapo.cl/region_metropolitana/servicios/fletes_y_mudanza_el_econ_mico_66467890.htm?ca=15_s&oa=66467890&xsp=4"
"56","Parrillas para asado","Jardín, herramientas y exteriores",50000,"La Florida","buenas y firmes parrillas para asado, 4 patas y base lateral de madera. con tambor del más grande (200lts). preparese para las fiestas y reserve la suya.","https://www.yapo.cl/region_metropolitana/jardin_herramientas/parrillas_para_asado_75743905.htm?ca=15_s&oa=75743905&xsp=5"
"57","Asesora del hogar","Ofertas de empleo",4e+05,"Providencia","se requiere asesora del hogar para providencia, para cuidado de niña de 2 años, y quehaceres de la casa, puede ser todo el dia( 8.30 a 19.30) o medio dia ( 14 a 19.30)a definir. solo escribir a whassap interesadas. +56 9 9899 5338 sra. caludia.","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/asesora_del_hogar_75591077.htm?ca=15_s&oa=75591077&xsp=6"
"58","depto las condes","Arriendo",550000,"Las Condes","arriendo departamento en sector a. vespucio con c. colon, en pasaje tranquilo, con excelente conectividad, metro e militar 10 min, m colon 15min, centros comerciales, bancos, farmacias, restaurantes, en el sector, edificio solo de 8 pisos.-baño en suite con ventilación natural.-estacionamiento subterráneo independiente.-estacionamiento de visitas.-seguridad 24 hrs.-ascensor.-closets amplios.-luminoso.-piso flotante.-conexión para lavadora.*disponibilidad apartir del 20 del diciembre, trato directo con dueño, sin comisiones*","https://www.yapo.cl/region_metropolitana/arrendar/depto_las_condes_75727740.htm?ca=15_s&oa=75727740&xsp=7"
"59","Ssangyong stavic 2014","Autos, camionetas y 4x4",9800000,"Pirque","vendo stavic diesel 2014","https://www.yapo.cl/region_metropolitana/autos/ssangyong_stavic_2014_75727711.htm?ca=15_s&oa=75727711&xsp=8"
"60","Local comercial en galeria de barrio italia","Arriendo",NA,"Providencia","arriendo de local comercial de 18 m2 en la única galería comercial diseñada especialmente con dos accesos para barrio italia.no cobramos gastos comunes.costos de arriendo:50% comisión de arriendo, mes o proporcional al ingreso y mes de garantía.valores exentos (no cobramos iva). al whatsapp +56952355355","https://www.yapo.cl/region_metropolitana/arrendar/local_comercial_en_galeria_de_barrio_italia_75689656.htm?ca=15_s&oa=75689656&xsp=9"
"61","Guardias con y sin curso. curso gratuito","Ofertas de empleo",425000,"Santiago","contrato inmediato – curso os10 gratuitoimportante empresa de seguridad a nivel nacional, busca guardias sin curso, con y sin experiencia para centro comercial de huechuraba, cerrillos, ñuñoa, puente alto, la florida, las condes.ofrecemos turnos 4x4 dia. a todo contratado se le hará curso de os10 al tercer mes. renta por los tres primeros meses será de 400.000, luego sube a 425000 liquidos a recibir.contratacion inmediata. con y sin experiencia documentos para postular: certificado de antecedentes para fines especiales certificado de estudios de 4to medio aprobado en mineduc certificado de afiliación de fonasa – isapre certificado de afiliacion de afplos reales interesados deben escribir a whatssapp +56961233435 para entrevista con alejandra","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/guardias_con_y_sin_curso__curso_gratuito_75689433.htm?ca=15_s&oa=75689433&xsp=10"
"62","Departamento nuevo con estacionamiento:","Arriendo",385000,"Ñuñoa","avenida josé pedro alessandri 927, ñuñoa,$385.000 baño, cocina americana, living comedor, terraza con vista despejada.1 estacionamiento.moderno departamento. cercano al mall portal ñuñoa, strip-center y líder macul. excelente ubicación y buena conectividad.38 mts 2.se arrienda con 1 estacionamiento.el edificio cuenta espacios comunes, con amplias áreas verdes, juegos para niños, 3 quinchos, amplia piscina, 2 salones gourmet, lavandería, bicicleteros y gimnasio. vigilancia 24 horas del día, portón eléctrico, acceso vehicular controlado y estacionamientos de visitas. en cuanto a locomoción se encuentra a 5 cuadras del metro chile españa y cerca del metro estadio nacional.ggcc $55000 aproximado.$385.000disponibilidad inmediata.para coordinar visitas al whatsapp +569 7437 7839","https://www.yapo.cl/region_metropolitana/arrendar/departamento_nuevo_con_estacionamiento__75669769.htm?ca=15_s&oa=75669769&xsp=11"
